comment_id,comment_text,cleaned_text,suggested_label,label
UgywICuDEttWEbM8Bot4AaABAg,❤❤,❤❤,Neutral,positive
UgwjD4oxKSTY3UQyaaR4AaABAg,"This reminds me of when I missed a month of class (Tuesday/Thursday class) because it was put as TBA on my schedule, but no one I asked knew where it was as it moved 3 different times. I got a call from my advisor mid September telling me that she found where the class was. 🙃 The professor wanted to deny me access to his class because I missed a month, but he let me slide since the rest of the class hated him 😂😭🙌🏾","this reminds me of when i missed a month of class tuesdaythursday class because it was put as tba on my schedule, but no one i asked knew where it was as it moved 3 different times. i got a call from my advisor mid september telling me that she found where the class was. the professor wanted to deny me access to his class because i missed a month, but he let me slide since the rest of the class hated him 😂😭",Neutral,Relatable
UgwIHBgjudATRqIF_pl4AaABAg,What is the name of the mic you are using in your hands for your camera,what is the name of the mic you are using in your hands for your camera,Neutral,Neutral
UgxrLT7c6x-UaP-3oxJ4AaABAg,I miss you bachpan,i miss you bachpan,Neutral,negative
Ugz8pBwaMLegppJNZbB4AaABAg,I think that's was a clear detailed explanation 🎉,i think that's was a clear detailed explanation,Neutral,
UgwhNyQcwTvc6DiOSZR4AaABAg,"God i wish someone would understand i just can't anymore it's like im completely drained with no energy whatsoever, i dont bathe, comb, brush, i am trying i have so much on my plate and there is not a single person who can help, i am nothing but dead, have been for a while, when i talk to someone they say something to get me angry, no one should live atleast not here","god i wish someone would understand i just can't anymore it's like im completely drained with no energy whatsoever, i dont bathe, comb, brush, i am trying i have so much on my plate and there is not a single person who can help, i am nothing but dead, have been for a while, when i talk to someone they say something to get me angry, no one should live atleast not here",Neutral,Relatable
UgzoeF7XsK3QiViu1nB4AaABAg,My brain was listening,my brain was listening,Neutral,
UgxcSDqUhUflAa35cbR4AaABAg,Real men never lost his interest in women he love,real men never lost his interest in women he love,Neutral,
UgxsGuIuU6iN9sEFsJh4AaABAg,What to Speak What Not To Speak..... Respect Each Other,what to speak what not to speak..... respect each other,Neutral,
Ugz3hqDtLG5JOGDtQgV4AaABAg,Didi k alawa sare grajute ho geye 😂😂,didi k alawa sare grajute ho geye 😂😂,Neutral,
UgwXapKPXdXMdggJHD14AaABAg,Solche Videos hasse ich wenn man das andere einfach nur so drauf legt und über das andere komplett Sand macht das ist dann so unfair😢😢😢,solche videos hasse ich wenn man das andere einfach nur so drauf legt und über das andere komplett sand macht das ist dann so unfair😢😢😢,Neutral,
Ugwq2LjSR1R_JYYXGgl4AaABAg,"Hardworkers just don't become lazy, people think your a robot just because you showed your full capabilities","hardworkers just don't become lazy, people think your a robot just because you showed your full capabilities",Neutral,
UgyaL9iLwyrwyIr8YRx4AaABAg,where to get csv file?,where to get csv file?,Neutral,
Ugwj0SKlZ4OeDHJv5jl4AaABAg,They gon say you procrastinate... Nothing.,they gon say you procrastinate... nothing.,Neutral,
Ugwflotc6J3adz0aqE94AaABAg,Kya girls kya part time aap kuchh income karna chahte hain to message karo mujhe,kya girls kya part time aap kuchh income karna chahte hain to message karo mujhe,Neutral,
UgxBcVrMe5TKbq8fhrx4AaABAg,how to let work know,how to let work know,Neutral,
UgxEJRUI0FHohFl5DZ14AaABAg,Shadab sir ur d best teacher and best actor 🎉😎😍💖💖💖💖✨✨✨🎊🎊🎊🔥🔥🔥💕💕💕😊❤️,shadab sir ur d best teacher and best actor 😍🔥🔥🔥😊❤️,Neutral,
UgyMATwmSTnpaBUmHvt4AaABAg,you should have soaked the chia seeds,you should have soaked the chia seeds,Neutral,
UgyAX1fZTpKqDPmL09Z4AaABAg,"I may ask, is our perspective correct about you man?

with a deep curiosity to hear from him or her depends","i may ask, is our perspective correct about you man? with a deep curiosity to hear from him or her depends",Neutral,neutral
