comment_id,model_relatability
UggsRHNq_ERog3gCoAEC,Relatable
UggX1NsxmYKlUHgCoAEC,Neutral
UghmgUlSETxr5HgCoAEC,Relatable
UghRj_1u1xYiMngCoAEC,Relatable
Ughx7QwHZvzMNXgCoAEC,Neutral
Ugj5lTg-fOfcvXgCoAEC,Neutral
UgjqZV02AEaFGXgCoAEC,Neutral
Ugw_1oR7llmj79nCaP94AaABAg,Relatable
Ugw_2L9AcI-GKZtD0rB4AaABAg,Neutral
Ugw_3jL65WrHft8VNLl4AaABAg,Neutral
Ugw_4sqMmYVq-h-o19t4AaABAg,Neutral
Ugw_7iHnIiACFZmgdBZ4AaABAg,Neutral
Ugw_8jA-_XBVR3lIPDt4AaABAg,Neutral
Ugw_8qUbnsB1LVLjfgZ4AaABAg,Neutral
Ugw_BIMYVqRU0wdB61t4AaABAg,Neutral
Ugw_BNxhnwo3PcmYJtx4AaABAg,Relatable
Ugw_dBv2hSDr5yGxJ0N4AaABAg,Neutral
Ugw_EbymdE1aFePG-KR4AaABAg,Neutral
Ugw_F4It0nq37ZEP4Kd4AaABAg,Neutral
Ugw_ftWsREFozNCGShF4AaABAg,Relatable
Ugw_gz_3LgnWkA8hK654AaABAg,Neutral
Ugw_iFtv2KaO1UO2ReJ4AaABAg,Neutral
Ugw_jembSUEKhXTCKSB4AaABAg,Neutral
Ugw_KtFsWrZC5-h_3u54AaABAg,Neutral
Ugw_KyOtdHBRULzED2J4AaABAg,Neutral
Ugw_LoY1QTe7f6GFVKx4AaABAg,Neutral
Ugw_mmn4oeqr4NFeKJJ4AaABAg,Relatable
Ugw_MtsklBmbE5GMMFt4AaABAg,Relatable
Ugw_myuDUr7BiaeUIet4AaABAg,Neutral
Ugw_P-QRNUNYovcjzGp4AaABAg,Neutral
Ugw_qUqdtMfYDhnhD7V4AaABAg,Neutral
Ugw_r9tF_Qmzm-kRbt54AaABAg,Neutral
Ugw_Rgw13SuLpWaO8eB4AaABAg,Neutral
Ugw_sQR9d6VTpIwS9bl4AaABAg,Relatable
Ugw_SSQ4QjU3S_vn0UF4AaABAg,Relatable
Ugw_sUzlQISuJ_FJYgl4AaABAg,Relatable
Ugw_TVNsiagwxmDyjPt4AaABAg,Neutral
Ugw_UCY7hZqOq-OXqnt4AaABAg,Neutral
Ugw_vqhPmLLQysnNXpN4AaABAg,Neutral
Ugw_W92-dsyMImADEKl4AaABAg,Neutral
Ugw_WhiM1JuV4PDLMmN4AaABAg,Relatable
Ugw_WZhOejTZKhXFOnV4AaABAg,Neutral
Ugw_XAGLzPBSKzrgB894AaABAg,Neutral
Ugw_YBUkzLZupUj2M1h4AaABAg,Neutral
Ugw_yK7VbXHIz_EUjyR4AaABAg,Neutral
Ugw_yWwYLNxS_ldfvW54AaABAg,Neutral
Ugw_ZiBhMwtX8ZiBRJ14AaABAg,Relatable
Ugw_zRk3YtpTdGMBE-p4AaABAg,Neutral
Ugw-_oPa3BCvi5P2E5t4AaABAg,Relatable
Ugw--9qniW07GcETCl54AaABAg,Neutral
Ugw-01fRZGJhJd8Dwrt4AaABAg,Relatable
Ugw-1eX6IXXLStGj_Gx4AaABAg,Neutral
Ugw-1I63glHa_5jjg1V4AaABAg,Neutral
Ugw-1n038fGzL7MLmR14AaABAg,Relatable
Ugw-26l1yKAkEHFe9Vx4AaABAg,Neutral
Ugw-2QtowQPMqaKbi7x4AaABAg,Neutral
Ugw-459rmfDUTfIPqex4AaABAg,Neutral
Ugw-6sKbmi2Q0P1ZCGR4AaABAg,Relatable
Ugw-aoHi56_j3j80ADF4AaABAg,Neutral
