posting_hour,video_count,average_views,median_views,average_engagement_rate,median_engagement_rate
0,3,77305.33333333333,37682.0,8.640680194692285,8.462926596252853
1,6,68060.5,50039.0,8.391705363954229,8.098130409779918
2,5,58156.4,43592.0,6.171983427820625,6.716708656918002
3,4,243490.75,213070.5,6.884205670125156,6.665960011194461
4,2,31107.5,31107.5,7.949985178879018,7.949985178879018
5,2,43493.0,43493.0,5.5858758345086645,5.5858758345086645
6,2,214486.0,214486.0,5.753228723315484,5.753228723315484
7,4,57922.0,38829.0,8.20575692176666,8.425194484477828
8,7,104905.42857142857,43749.0,7.354556694815186,7.874085467663755
9,7,91504.85714285714,44578.0,7.705053445020072,7.67417041026532
10,4,65917.0,41430.5,8.064716635576708,8.928025885413101
11,5,96718.8,48206.0,7.106327679770226,6.942151197075126
12,12,42722.25,42347.5,7.248903714869923,7.454738609378271
13,9,49330.22222222222,28896.0,7.0823968787405684,7.051722820689128
14,1,145255.0,145255.0,2.039172489759389,2.039172489759389
15,3,34900.333333333336,38350.0,6.549693700518028,7.6432147361180105
16,2,40068.5,40068.5,9.298077715575864,9.298077715575864
17,5,50688.8,52690.0,7.592870473082442,5.878883933507796
19,3,47755.0,49154.0,7.450510671914681,6.292468568173495
20,2,84630.5,84630.5,4.890813621261373,4.890813621261373
21,3,53746.0,42864.0,6.692309152166319,5.9516923116475775
22,6,53746.5,50471.0,6.216235852215015,6.650901492533634
23,3,76259.0,31291.0,5.369467649809208,5.509571442267744
